n,Bubblesort,Insertionsort,Quicksort
10,22.490,22.490,12.231
110,2997.464,2997.464,366.834
210,10991.260,10991.260,828.142
310,23950.263,23950.263,1339.610
410,41867.822,41867.822,1902.843
510,64806.757,64806.757,2466.410
610,92767.990,92767.990,3054.110
710,125778.088,125778.088,3661.265
810,164028.122,164028.122,4325.227
910,206732.608,206732.608,4912.207
1010,254748.549,254748.549,5591.293
1110,307528.907,307528.907,6288.693
1210,365488.251,365488.251,6840.150
1310,428616.672,428616.672,7594.974
1410,496292.321,496292.321,8138.406
1510,570228.788,570228.788,8838.141
1610,647424.430,647424.430,9626.930
1710,730744.680,730744.680,10313.663
1810,820181.842,820181.842,11062.327
1910,911395.242,911395.242,11624.885
2010,1009866.940,1009866.940,12478.376
2110,1110869.761,1110869.761,13237.310
2210,1219596.230,1219596.230,13892.044
2310,1332875.085,1332875.085,14810.062
2410,1450993.871,1450993.871,15298.177
2510,1572142.555,1572142.555,16012.235
2610,1703485.307,1703485.307,16984.816
2710,1832146.227,1832146.227,17532.573
2810,1973687.679,1973687.679,17878.491
2910,2118795.155,2118795.155,19381.951
3010,2265835.293,2265835.293,19934.576
3110,2412465.323,2412465.323,20587.167
3210,2575726.280,2575726.280,21067.548
3310,2736314.867,2736314.867,21953.189
3410,2906647.414,2906647.414,22422.805
3510,3078031.082,3078031.082,23254.224
3610,3259413.241,3259413.241,24510.313
3710,3442886.275,3442886.275,25413.625
3810,3626639.077,3626639.077,25642.603
3910,3824646.237,3824646.237,26798.553
4010,4013053.703,4013053.703,27558.203
4110,4218848.847,4218848.847,28383.653
4210,4423859.211,4423859.211,29088.930
4310,4641149.188,4641149.188,29582.696
4410,4858051.397,4858051.397,31196.485
4510,5080756.970,5080756.970,32041.955
4610,5323250.800,5323250.800,32185.338
4710,5537713.508,5537713.508,33221.810
4810,5780290.452,5780290.452,33463.565
4910,6040029.377,6040029.377,34695.131
5010,6275991.712,6275991.712,35498.593
5110,6524124.190,6524124.190,36016.431
5210,6782691.526,6782691.526,37071.018
5310,7052801.893,7052801.893,38183.768
5410,7313536.636,7313536.636,38996.964
5510,7593325.407,7593325.407,40486.537
5610,7876137.000,7876137.000,41141.019
5710,8149218.462,8149218.462,41549.442
5810,8437820.843,8437820.843,42058.569
5910,8728918.260,8728918.260,43643.140
6010,9009356.592,9009356.592,44222.469
6110,9374646.020,9374646.020,45101.796
6210,9657023.917,9657023.917,44881.167
6310,9942622.043,9942622.043,45734.915
6410,10274400.696,10274400.696,47351.000
6510,10579620.000,10579620.000,48232.326
6610,10922823.422,10922823.422,48923.733
6710,11256334.705,11256334.705,48888.659
6810,11596887.295,11596887.295,49990.364
6910,11921384.767,11921384.767,50425.233
7010,12271893.357,12271893.357,51414.524
7110,12622775.429,12622775.429,53251.952
7210,12987709.707,12987709.707,53254.415
7310,13324867.805,13324867.805,54604.561
7410,13709460.325,13709460.325,54453.125
7510,14108740.590,14108740.590,55343.256
7610,14461798.359,14461798.359,58350.923
7710,14878093.184,14878093.184,58065.711
7810,15226724.711,15226724.711,58506.684
7910,15595812.432,15595812.432,58436.054
8010,16028787.189,16028787.189,60301.865
8110,16446659.194,16446659.194,60849.778
8210,16814363.222,16814363.222,62907.972
8310,17259444.056,17259444.056,62606.139
8410,17661012.343,17661012.343,63979.514
8510,18068127.314,18068127.314,64063.829
8610,18546023.529,18546023.529,64332.029
8710,19000985.529,19000985.529,66835.882
8810,19380914.471,19380914.471,68307.588
8910,19820351.818,19820351.818,68603.152
9010,20274093.818,20274093.818,69085.091
9110,20737207.781,20737207.781,69771.000
9210,21233191.750,21233191.750,68984.125
9310,21697732.406,21697732.406,72899.000
9410,22137354.323,22137354.323,72392.677
9510,22553741.000,22553741.000,76562.774
9610,23091102.581,23091102.581,73406.290
9710,23503659.400,23503659.400,74633.100
9810,24095684.567,24095684.567,76118.100
9910,24550563.167,24550563.167,76658.267
