n,Bubblesort,Insertionsort,Quicksort
10,1.100,0.667,0.667
110,131.646,29.703,12.835
210,420.868,81.933,26.611
310,937.952,173.733,42.399
410,1636.115,302.326,58.824
510,2537.415,465.986,76.531
610,3700.611,665.988,93.686
710,5106.635,917.062,111.374
810,6656.757,1197.297,151.351
910,8592.705,1492.401,145.897
1010,10356.902,1808.081,175.084
1110,12411.111,2185.185,188.889
1210,14659.919,2623.482,202.429
1310,17262.009,3174.672,227.074
1410,19981.132,3514.151,245.283
1510,22969.697,4055.556,262.626
1610,26021.505,4575.269,284.946
1710,29388.571,5154.286,308.571
1810,33066.667,5793.939,333.333
1910,36872.611,6445.860,343.949
2010,40765.101,7100.671,362.416
2110,44654.930,7809.859,387.324
2210,49155.556,8577.778,407.407
2310,53899.225,9465.116,434.109
2410,58427.419,10435.484,443.548
2510,63504.202,11058.824,462.185
2610,68447.368,11982.456,491.228
2710,74018.182,12881.818,518.182
2810,79745.283,13867.925,528.302
2910,85805.825,14815.534,553.398
3010,90939.394,15848.485,585.859
3110,97760.417,16885.417,625.000
3210,104107.527,18118.280,623.656
3310,110122.222,19188.889,633.333
3410,117954.023,20413.793,655.172
3510,124647.059,21705.882,670.588
3610,131518.072,22867.470,698.795
3710,138762.500,24175.000,725.000
3810,146743.590,25525.641,743.590
3910,155539.474,26973.684,776.316
4010,163243.243,28310.811,797.297
4110,170750.000,29722.222,805.556
4210,179647.887,31042.254,830.986
4310,188304.348,33028.986,855.072
4410,197147.059,34132.353,882.353
4510,205333.333,35833.333,893.939
4610,214800.000,37307.692,938.462
4710,225698.413,38793.651,968.254
4810,234112.903,40516.129,967.742
4910,244344.262,42295.082,1000.000
5010,255084.746,44440.678,1016.949
5110,264982.759,45448.276,1034.483
5210,274491.228,47719.298,1070.175
5310,285803.571,49714.286,1089.286
5410,296709.091,51054.545,1109.091
5510,307925.926,53462.963,1129.630
5610,323377.358,55716.981,1150.943
5710,331750.000,57192.308,1173.077
5810,342274.510,58921.569,1176.471
5910,353200.000,61760.000,1240.000
6010,364775.510,63448.980,1244.898
6110,378591.837,65938.776,1285.714
6210,392041.667,67479.167,1291.667
6310,404170.213,69638.298,1297.872
6410,417630.435,72282.609,1347.826
6510,431434.783,74043.478,1369.565
6610,444222.222,76822.222,1355.556
6710,455250.000,78636.364,1386.364
6810,469136.364,81181.818,1431.818
6910,482930.233,83023.256,1488.372
7010,497642.857,86095.238,1500.000
7110,512523.810,88119.048,1500.000
7210,526609.756,92146.341,1536.585
7310,540243.902,94585.366,1560.976
7410,556375.000,96175.000,1550.000
7510,571000.000,99076.923,1589.744
7610,586974.359,101461.538,1615.385
7710,603868.421,104052.632,1657.895
7810,616552.632,107473.684,1684.211
7910,635918.919,109351.351,1675.676
8010,649243.243,112702.703,1702.703
8110,675805.556,115027.778,1805.556
8210,684666.667,118305.556,1805.556
8310,703694.444,121694.444,1777.778
8410,723657.143,124714.286,1828.571
8510,735200.000,126914.286,1828.571
8610,756058.824,131470.588,1823.529
8710,774058.824,133647.059,1882.353
8810,794764.706,136735.294,1911.765
8910,810030.303,139575.758,1939.394
9010,827636.364,142545.455,1969.697
9110,849000.000,146531.250,2000.000
9210,870437.500,149968.750,2000.000
9310,888031.250,153031.250,2125.000
9410,903161.290,156645.161,2064.516
9510,926741.935,158387.097,2096.774
9610,943967.742,163000.000,2096.774
9710,961933.333,165133.333,2133.333
9810,982666.667,169000.000,2166.667
9910,1005833.333,172966.667,2166.667
