n,Bubblesort,Insertionsort,Quicksort
10,44.979,31.490,31.958
110,5994.928,3106.464,779.355
210,21982.520,11200.260,1736.282
310,47900.525,24259.263,2795.417
410,83735.644,42276.822,3948.257
510,129613.514,65315.757,5119.867
610,185535.980,93376.990,6316.452
710,251556.175,126487.088,7566.934
810,328056.243,164837.122,8919.930
910,413465.216,207641.608,10149.714
1010,509497.098,255757.549,11560.519
1110,615057.815,308637.907,12932.696
1210,730976.502,366697.251,14106.996
1310,857233.345,429925.672,15640.314
1410,992584.642,497701.321,16803.245
1510,1140457.576,571737.788,18223.758
1610,1294848.860,649033.430,19819.871
1710,1461489.360,732453.680,21246.720
1810,1640363.685,821990.842,22762.230
1910,1822790.484,913304.242,23948.497
2010,2019733.879,1011875.940,25557.154
2110,2221739.521,1112978.761,27231.859
2210,2439192.459,1221805.230,28533.496
2310,2665750.171,1335184.085,30385.581
2410,2901987.742,1453402.871,31442.839
2510,3144285.109,1574651.555,32830.353
2610,3406970.614,1706094.307,34841.772
2710,3664292.455,1834855.227,35946.327
2810,3947375.358,1976496.679,36783.585
2910,4237590.311,2121704.155,39813.340
3010,4531670.586,2268844.293,40828.687
3110,4824930.646,2415574.323,42216.146
3210,5151452.559,2578935.280,43285.161
3310,5472629.733,2739623.867,45000.444
3410,5813294.828,2910056.414,46104.207
3510,6156062.165,3081540.082,47718.447
3610,6518826.482,3263022.241,50229.855
3710,6885772.550,3446595.275,51948.350
3810,7253278.154,3630448.077,52674.000
3910,7649292.474,3828555.237,54931.474
4010,8026107.405,4017062.703,56286.000
4110,8437697.694,4222957.847,58085.194
4210,8847718.423,4428068.211,59512.676
4310,9282298.377,4645458.188,60733.797
4410,9716102.794,4862460.397,63811.206
4510,10161513.939,5085265.970,65704.606
4610,10646501.600,5327859.800,66049.108
4710,11075427.016,5542422.508,67903.651
4810,11560580.903,5785099.452,68506.194
4910,12080058.754,6044938.377,70956.656
5010,12551983.424,6281000.712,72622.068
5110,13048248.379,6529233.190,73784.621
5210,13565383.053,6787900.526,75855.404
5310,14105603.786,7058110.893,78332.929
5410,14627073.273,7318945.636,79729.382
5510,15186650.815,7598834.407,82839.407
5610,15752274.000,7881746.000,84210.717
5710,16298436.923,8154927.462,85142.615
5810,16875641.686,8443629.843,85983.255
5910,17457836.520,8734827.260,88508.760
6010,18018713.184,9015365.592,90564.939
6110,18749292.041,9380755.020,92396.612
6210,19314047.833,9663232.917,91867.750
6310,19885244.085,9948931.043,93540.511
6410,20548801.391,10280809.696,96865.478
6510,21159240.000,10586129.000,98752.870
6610,21845646.844,10929432.422,99978.667
6710,22512669.409,11263043.705,100075.500
6810,23193774.591,11603696.295,102178.864
6910,23842769.535,11928293.767,103373.302
7010,24543786.714,12278902.357,105248.524
7110,25245550.857,12629884.429,108932.190
7210,25975419.415,12994918.707,108934.927
7310,26649735.610,13332176.805,111652.683
7410,27418920.650,13716869.325,111379.050
7510,28217481.179,14116249.590,113355.077
7610,28923596.718,14469407.359,119122.256
7710,29756186.368,14885802.184,118707.105
7810,30453449.421,15234533.711,119554.316
7910,31191624.865,15603721.432,119356.324
8010,32057574.378,16036796.189,123406.703
8110,32893318.389,16454768.194,124562.944
8210,33628726.444,16822572.222,128647.111
8310,34518888.111,17267753.056,127837.444
8410,35322024.686,17669421.343,130977.714
8510,36136254.629,18076636.314,130987.314
8610,37092047.059,18554632.529,131425.294
8710,38001971.059,19009694.529,136574.824
8810,38761828.941,19389723.471,139394.471
8910,39640703.636,19829260.818,140110.303
9010,40548187.636,20283102.818,141049.879
9110,41474415.562,20746316.781,142535.375
9210,42466383.500,21242400.750,141318.375
9310,43395464.812,21707041.406,148492.500
9410,44274708.645,22146763.323,147733.419
9510,45107482.000,22563250.000,156166.000
9610,46182205.161,23100711.581,149966.000
9710,47007318.800,23513368.400,152925.400
9810,48191369.133,24105493.567,155608.533
9910,49101126.333,24560472.167,156595.533
